CustomerID,CustomerName,TransactionID,MovieID,Date,MovieName,Genre,TheaterLocation,CustomerAge,CustomerGender,Ticket Type,Num Tickets,Price,Discounted Price,Total Price,PaymentMethod,CustomerMembership,PurchaseChannel,MovieRating,CustomerFeedback,LoyaltyPoints,SnacksPurchased,SnacksQuantity,SnacksAmount,LastVisitDate,RecencyDays,Frequency,CustomerStatus,Monetary_Total_Price
CUST5975,Yash Chaudhari,QKPq9DDfWqNz,M001,2024-01-03 20:28:59,Movie A,Action,Hyderabad,28,Male,VIP,4,1600,No Discount,1600,Credit Card,Silver,In-store,2,Bad,42,"Medium Popcorn, Fruit Smoothies",3,1050,2024-07-05 20:28:59,184,8,Inactive,2650
CUST2917,Chaitanya Reddy,9tMLK0cmAoK9,M002,2024-04-11 22:01:05,Movie B,Drama,Delhi,54,Male,Senior,1,200,No Discount,200,Net Banking,Silver,In-store,3,Average,12,"Veggie Chips, Nachos",4,960,2024-09-21 22:01:05,163,4,Inactive,1160
CUST3975,Hemanth Chowdhury,CXCletE8R6Ib,M003,2024-01-01 17:44:40,Movie B,Action,Kolkata,49,Male,Regular,5,1750,1662.5,1662.5,Credit Card,Silver,Online,5,Excellent,15,"Gummies, French Fries, Cupcakes",2,540,2024-07-13 17:44:40,194,2,Inactive,2202.5
CUST11694,Chetan Wadhwa,ZJqUWpy7Zha1,M004,2024-09-09 14:12:04,Movie D,Thriller,Kolkata,63,Male,VIP,4,1600,No Discount,1600,Net Banking,Gold,Online,4,Good,82,"Pretzels, Bag of Mixed Nuts, Small Popcorn",2,740,2024-12-31 19:08:17,113,13,Active,2340
CUST18773,Priya Desai,XG1oS1LJLnMz,M005,2024-09-29 20:21:26,Movie B,Action,Bangalore,43,Female,Senior,4,800,No Discount,800,Cash,Silver,In-store,5,Excellent,18,Large Popcorn,1,250,2024-12-31 21:42:02,93,13,Active,1050
CUST11231,Pankaj Haridas,4OCGrymxvPIf,M006,2024-09-30 11:37:53,Movie B,Drama,Bangalore,31,Other,Senior,7,1400,1190,1190,Debit Card,None,In-store,1,Very Bad,16,None,0,0,2024-12-31 10:56:29,91,4,Inactive,1190
CUST17643,Farhan Vyas,otQ71LDBI5RV,M007,2024-10-14 20:44:28,Movie C,Thriller,Kolkata,46,Male,Senior,2,400,No Discount,400,Net Banking,None,In-store,2,Bad,145,"Medium Popcorn, Small Popcorn",4,1400,2024-11-19 20:44:28,36,9,Highly Active,1800
CUST13088,Anil Dubey,XA7IgcwUJtM9,M008,2024-06-09 13:44:11,Movie B,Drama,Kolkata,27,Other,Senior,7,1400,No Discount,1400,Credit Card,None,Online,3,Average,30,Cupcakes,1,100,2024-12-17 13:44:11,191,13,Inactive,1500
CUST7158,Zain Singh,IPBx02hr5cUc,M009,2024-09-01 13:33:24,Movie B,Drama,Delhi,64,Male,Regular,2,700,No Discount,700,Credit Card,Gold,Online,3,Average,42,None,0,0,2024-11-16 13:33:24,76,8,Very Active,700
CUST17428,Tarun Dutta,mWgzZGAcjaHz,M010,2024-11-08 14:53:33,Movie B,Comedy,Mumbai,57,Other,Senior,7,1400,1190,1190,Net Banking,Gold,In-store,1,Very Bad,6,"Ice Cream, Energy Drink",2,360,2024-12-31 21:20:12,53,4,Active,1550
CUST2533,Ritika Agnihotri,8Z5x5DZo1YQQ,M011,2024-10-01 20:13:09,Movie B,Thriller,Chennai,30,Female,Regular,1,350,No Discount,350,Cash,Silver,Online,1,Very Bad,175,None,0,0,2024-11-18 20:13:09,48,7,Very Active,350
CUST17695,Dhara Kashyap,miG5Y83q9kop,M012,2024-08-05 22:05:50,Movie C,Drama,Mumbai,57,Male,Student,7,1750,No Discount,1750,UPI,Platinum,In-store,5,Excellent,95,"Bag of Mixed Nuts, Energy Drink",2,440,2024-10-02 22:05:50,58,1,New,2190
CUST7272,Sneha Malhotra,W3rxzvzOKjsq,M013,2024-06-29 22:16:43,Movie D,Action,Hyderabad,23,Male,VIP,5,2000,No Discount,2000,Cash,Platinum,In-store,1,Very Bad,125,"Lemonade, Hotdog",2,460,2024-11-22 22:16:43,146,8,Inactive,2460
CUST1834,Eklavya Warrier,qvafV42evLT4,M014,2024-03-29 15:53:48,Movie D,Thriller,Kolkata,31,Female,Senior,9,1800,1620,1620,Credit Card,Gold,Online,1,Very Bad,95,"Bag of Mixed Nuts, Chips, Candy",1,220,2024-09-06 15:53:48,161,3,Inactive,1840
CUST6254,Ojas Ahluwalia,AEJio78RTW8i,M015,2024-09-10 10:08:01,Movie D,Thriller,Mumbai,24,Other,Student,6,1500,No Discount,1500,Cash,Platinum,In-store,3,Average,58,Hotdog,3,360,2024-11-07 10:08:01,58,14,Highly Active,1860
CUST17418,Vrinda Kapoor,it4zDM67AYTA,M016,2024-06-20 13:13:12,Movie A,Comedy,Delhi,55,Male,VIP,4,1600,No Discount,1600,Credit Card,Gold,In-store,5,Excellent,70,Small Popcorn,2,300,2024-12-16 13:13:12,179,14,Active,1900
CUST12639,Ganesh Nair,ojqKQKcZTLDm,M017,2024-03-15 17:56:59,Movie C,Comedy,Delhi,39,Male,VIP,5,2000,No Discount,2000,Debit Card,None,In-store,2,Bad,82,Bag of Mixed Nuts,3,360,2024-07-26 17:56:59,133,10,Active,2360
CUST2587,Anaya Roy,aR25XrTYzF6a,M018,2024-04-07 10:47:53,Movie B,Comedy,Hyderabad,59,Male,VIP,5,2000,No Discount,2000,Net Banking,Platinum,Online,2,Bad,109,"Fruit Smoothies, Iced Tea",4,840,2024-07-06 10:47:53,90,5,Active,2840
CUST11901,Arushi Naik,Uc3mhTLSp5Gx,M019,2024-01-30 18:00:07,Movie D,Comedy,Bangalore,52,Female,Student,5,1250,No Discount,1250,Debit Card,Gold,In-store,1,Very Bad,40,Pepsi,2,160,2024-08-11 18:00:07,194,1,Inactive,1410
CUST15150,Kunal Malhotra,4GsmDP8umW4p,M020,2024-09-25 22:40:42,Movie C,Thriller,Bangalore,49,Female,Regular,6,2100,1785,1785,UPI,Silver,Online,1,Very Bad,36,"Ice Cream, Onion Rings, Sandwich",2,580,2024-12-25 22:40:42,91,4,Inactive,2365
CUST14966,Hiral Sen,iBX94JYwUkzk,M021,2024-07-29 22:02:23,Movie B,Drama,Delhi,54,Other,Student,8,2000,No Discount,2000,Credit Card,Gold,In-store,3,Average,121,Fruit Cup,1,180,2024-10-20 22:02:23,83,8,Very Active,2180
CUST4069,Priya Nambiar,pR8nngsEee9B,M022,2024-09-22 13:00:51,Movie B,Comedy,Kolkata,37,Female,Senior,9,1800,No Discount,1800,Debit Card,None,Online,4,Good,125,"Gummies, Iced Tea",2,260,2024-12-31 17:08:30,100,8,Inactive,2060
CUST4138,Lalit Iyengar,YnksMl9AFRX4,M023,2024-07-28 17:40:53,Movie C,Action,Bangalore,62,Male,Senior,6,1200,No Discount,1200,UPI,None,In-store,4,Good,105,"Medium Popcorn, Bag of Mixed Nuts",4,1280,2024-10-01 17:40:53,65,1,New,2480
CUST6748,Arnav Warrier,lZc1kCAqNRFC,M024,2024-03-27 22:27:31,Movie C,Drama,Hyderabad,61,Female,Student,4,1000,No Discount,1000,Net Banking,Gold,In-store,3,Average,60,Sandwich,1,120,2024-05-08 22:27:31,42,13,Highly Active,1120
CUST6873,Anita Chaudhari,Oz2qkbEw5iRB,M025,2024-10-07 13:36:21,Movie D,Thriller,Hyderabad,39,Female,VIP,3,1200,No Discount,1200,Net Banking,None,Online,4,Good,46,"Nachos, Ice Cream",1,230,2024-12-31 19:42:08,85,7,Very Active,1430
CUST19496,Meenakshi Tandon,StmZX1fQ9meK,M026,2024-02-18 16:52:11,Movie C,Action,Kolkata,20,Male,Regular,2,700,No Discount,700,Debit Card,Platinum,Online,1,Very Bad,34,None,0,0,2024-04-07 16:52:11,49,13,Highly Active,700
CUST10811,Yamini Gupta,ZMq2CDTK9Bpg,M027,2024-02-23 20:57:02,Movie D,Comedy,Hyderabad,38,Male,Regular,1,350,No Discount,350,Net Banking,None,Online,2,Bad,79,"Veggie Chips, Large Popcorn",1,340,2024-07-06 20:57:02,134,12,Active,690
CUST7695,Mohan Dixit,4Dq2LTY5KIPz,M028,2024-10-12 09:09:42,Movie D,Drama,Kolkata,22,Male,Regular,8,2800,2520,2520,Cash,None,In-store,2,Bad,8,"Cupcakes, Lemonade, Medium Popcorn",1,410,2024-12-31 15:14:24,80,3,Active,2930
CUST2350,Akash Iyengar,D5d3cfsnviCN,M029,2024-06-16 18:38:14,Movie A,Action,Delhi,49,Male,Regular,2,700,No Discount,700,Cash,Platinum,Online,5,Excellent,105,Yogurt,3,180,2024-10-16 18:38:14,122,12,Active,880
CUST10224,Pratik Patel,k3mmqbr741Rn,M030,2024-07-12 17:49:59,Movie C,Drama,Bangalore,41,Other,VIP,5,2000,No Discount,2000,Credit Card,Platinum,Online,4,Good,160,None,0,0,2024-12-07 17:49:59,148,10,Active,2000
CUST10812,Aarohi Bose,JelRhzMhyXLP,M031,2024-08-27 15:46:37,Movie D,Action,Hyderabad,60,Female,Regular,5,1750,No Discount,1750,Credit Card,None,In-store,3,Average,16,"Large Popcorn, Coca Cola, Ice Cream",2,820,2024-11-07 15:46:37,72,13,Highly Active,2570
CUST12740,Aditi Kashyap,MD22z0MEZj5a,M032,2024-07-03 15:58:46,Movie D,Action,Chennai,19,Male,VIP,1,400,No Discount,400,Credit Card,Silver,In-store,3,Average,8,"Ice Cream, Small Popcorn",1,230,2024-08-21 15:58:46,49,6,Active,630
CUST3910,Dhyana Dixit,mlcu0YG3yziw,M033,2024-08-12 20:09:22,Movie C,Drama,Delhi,50,Other,Senior,8,1600,No Discount,1600,Debit Card,Gold,Online,1,Very Bad,58,"Gummies, Cupcakes, Yogurt",1,230,2024-12-31 21:16:16,141,6,Inactive,1830
CUST13116,Kiran Pandey,eOs0Wrc6BpL0,M034,2024-10-13 15:00:38,Movie A,Action,Kolkata,25,Other,VIP,3,1200,No Discount,1200,Debit Card,None,In-store,1,Very Bad,12,"Fruit Cup, Veggie Chips",2,540,2024-12-31 12:00:45,78,7,Very Active,1740
CUST5431,Yamini Das,5JKISBTa1rdY,M035,2024-04-18 11:53:44,Movie B,Action,Kolkata,43,Female,Senior,6,1200,1140,1140,Credit Card,None,In-store,2,Bad,24,None,0,0,2024-10-09 11:53:44,174,2,New,1140
CUST17843,Advik Arora,g9hD51dkhZOL,M036,2024-01-15 11:05:48,Movie A,Comedy,Mumbai,49,Female,Regular,7,2450,1960,1960,Credit Card,Gold,Online,4,Good,109,None,0,0,2024-07-04 11:05:48,171,5,Inactive,1960
CUST4392,Chirag Agnihotri,Fd3Ivc3RPJel,M037,2024-03-12 12:13:25,Movie A,Drama,Bangalore,58,Female,Student,5,1250,No Discount,1250,Cash,Silver,In-store,4,Good,82,"Energy Drink, Pepsi, French Fries",2,560,2024-08-14 12:13:25,155,5,Inactive,1810
CUST4132,Riya Saxena,QEWil7lZG8zW,M038,2024-09-25 20:28:06,Movie A,Action,Hyderabad,56,Male,Senior,4,800,No Discount,800,Net Banking,Platinum,In-store,4,Good,42,"Gummies, Onion Rings, Coca Cola",4,960,2024-12-31 22:30:49,97,8,Inactive,1760
CUST2756,Kartik Kashyap,Zmo5sjW5CftG,M039,2024-08-12 19:46:52,Movie C,Comedy,Delhi,23,Female,Senior,2,400,No Discount,400,Debit Card,Gold,In-store,5,Excellent,133,"Onion Rings, Fruit Cup, Coca Cola",4,1400,2024-12-31 15:19:51,140,6,Inactive,1800
CUST6531,Tarun Rana,nF2Ohs3iFvEF,M040,2024-10-11 15:11:44,Movie D,Action,Mumbai,18,Male,VIP,1,400,No Discount,400,Debit Card,Silver,In-store,5,Excellent,100,Iced Tea,1,60,2024-12-31 17:13:21,81,4,Active,460
CUST6922,Ahaan Mathew,HIG2YQ2r7od5,M041,2024-11-02 22:21:32,Movie C,Action,Delhi,34,Female,Student,3,750,712.5,712.5,UPI,Platinum,In-store,3,Average,89,"Fruit Cup, Pepsi",2,520,2024-12-23 22:21:32,51,2,New,1232.5
